AgeOrig,Length,Sex,Age,Source
24,20.3,Male,48,Sazhinov
24,21.2,Male,48,Sazhinov
24,21,Male,48,Sazhinov
24.5,20.2,Male,49,Sazhinov
25,20.4,Male,50,Sazhinov
25,20.5,Male,50,Sazhinov
25,20.3,Male,50,Sazhinov
27,21.9,Male,54,Sazhinov
27,21.7,Male,54,Sazhinov
27.5,22.6,Male,55,Sazhinov
28,22.8,Male,56,Sazhinov
29.5,23.6,Male,59,Sazhinov
30,23.8,Male,60,Sazhinov
